id	rate
1001	13
1003	4
1005	1
1017	2
1033	4
1043	1
1047	1
1053	1
1055	2
1069	1
1073	5
1081	3
1083	8
1087	1
1089	2
1097	5
1109	1
1117	5
1125	2
4005	1
4007	2
4009	1
4013	48
4015	1
4019	10
4021	1
4025	35
5005	1
5007	3
5043	1
5055	1
5069	2
5115	1
5119	17
6001	19
6007	2
6013	1
6017	1
6019	37
6029	4
6037	127
6041	2
6047	1
6053	3
6059	17
6061	5
6065	16
6067	10
6069	1
6071	16
6073	33
6075	17
6077	2
6079	3
6081	4
6083	1
6085	17
6087	1
6095	6
6097	2
6099	3
6101	2
6107	4
6111	10
6113	3
8001	1
8005	1
8013	1
8031	5
8035	5
8041	8
8059	2
8069	1
8093	10
9001	11
9003	6
9007	2
9009	25
9013	1
11001	40
12001	1
12005	7
12009	4
12011	32
12017	1
12019	1
12021	2
12031	4
12033	4
12035	2
12049	1
12053	1
12057	23
12061	2
12069	6
12071	12
12073	9
12081	1
12083	4
12085	2
12086	45
12095	17
12097	3
12099	32
12101	14
12103	22
12105	4
12109	1
12111	2
12115	3
12117	4
12127	9
13009	1
13021	2
13031	1
13059	7
13063	2
13067	7
13089	2
13121	20
13135	3
13143	1
13153	5
13171	1
13175	1
13225	1
13247	1
13277	1
13295	1
13319	120
16001	4
16013	1
16017	1
16019	3
16027	1
16039	2
16059	6
17019	1
17021	21
17029	1
17031	47
17037	1
17043	10
17053	2
17055	1
17073	1
17089	1
17091	1
17097	5
17111	2
17113	2
17115	1
17119	2
17167	4
17177	1
17179	1
17197	6
17201	2
17203	1
18003	3
18019	1
18029	1
18031	1
18035	1
18037	1
18039	2
18043	1
18053	1
18057	3
18059	1
18061	1
18063	15
18067	1
18081	5
18089	1
18093	2
18097	12
18109	1
18123	1
18141	2
18157	1
18163	5
18167	2
19013	1
19103	2
19113	3
19139	1
19143	1
19153	11
19163	3
19169	7
19175	3
19181	2
19193	1
20015	1
20053	1
20085	3
20091	4
20159	9
20161	1
20173	11
20177	1
21015	2
21029	19
21035	1
21061	1
21065	1
21073	1
21085	1
21093	1
21101	1
21111	11
21115	1
21117	1
21145	1
21151	2
21179	1
21185	18
21217	2
21231	1
21239	2
22011	2
22015	2
22017	1
22019	4
22033	7
22051	5
22055	3
22061	1
22071	15
22079	2
22093	1
22095	1
22103	1
22109	1
22125	11
23001	1
23003	1
23021	4
23031	4
24001	1
24003	7
24005	9
24015	1
24017	4
24021	2
24025	1
24031	9
24033	10
24510	6
25001	5
25003	1
25005	20
25009	5
25013	7
25015	2
25017	14
25021	3
25023	3
25025	14
25027	29
26025	1
26049	7
26065	11
26073	1
26075	2
26077	2
26081	3
26093	1
26099	10
26103	1
26105	1
26115	4
26121	1
26125	13
26139	10
26145	1
26161	5
26163	12
27001	4
27003	3
27019	1
27027	1
27037	1
27053	13
27067	1
27079	1
27103	1
27109	1
27123	5
27145	1
27147	1
27171	3
28033	4
28047	3
28071	1
28083	1
28085	1
28089	2
28105	1
28121	8
29001	1
29037	1
29071	1
29095	10
29097	2
29099	1
29131	13
29183	1
29189	10
29510	4
30013	1
30031	1
30093	1
30107	1
31019	1
31041	4
31043	1
31055	6
31109	4
32003	36
32023	4
32031	8
33009	6
33011	11
33015	5
34001	3
34003	2
34005	16
34007	3
34009	1
34013	8
34015	4
34017	5
34021	2
34023	5
34025	10
34027	6
34029	11
34031	3
34035	2
34039	3
35001	14
35035	1
35049	1
36001	1
36005	7
36011	1
36023	1
36025	1
36027	10
36029	6
36035	2
36043	2
36045	2
36047	31
36051	3
36053	31
36055	10
36059	18
36061	77
36063	2
36065	1
36067	2
36069	1
36071	4
36079	1
36081	18
36085	12
36087	3
36089	1
36091	1
36093	6
36103	21
36111	4
36113	3
36117	1
36119	8
37001	2
37021	5
37025	1
37031	1
37035	2
37051	7
37063	3
37067	3
37071	1
37081	4
37085	1
37087	2
37089	1
37097	3
37119	12
37127	1
37129	1
37135	2
37145	1
37153	74
37161	1
37171	1
37183	12
37193	1
38015	1
38017	1
38083	1
39003	1
39009	1
39017	10
39019	1
39033	1
39035	12
39041	2
39045	2
39049	24
39061	7
39063	1
39083	33
39085	2
39089	1
39093	4
39095	5
39099	2
39103	2
39113	8
39119	1
39129	1
39131	3
39133	2
39139	1
39143	1
39151	7
39153	8
39155	2
39165	3
39173	2
40017	1
40027	3
40031	1
40109	6
40119	1
40143	6
40149	9
41005	2
41013	12
41029	2
41035	1
41039	6
41047	2
41051	20
41067	6
42003	13
42007	2
42017	5
42021	1
42025	1
42027	3
42029	3
42035	39
42037	3
42041	4
42045	5
42047	1
42049	3
42055	1
42071	1
42079	4
42091	3
42095	3
42101	31
42129	3
42133	6
44003	2
44007	2
44009	4
45003	1
45007	1
45013	1
45017	25
45019	2
45031	1
45043	4
45045	2
45051	2
45063	2
45073	1
45075	1
45083	1
45091	1
46099	1
46117	2
47009	1
47015	18
47023	1
47037	7
47053	1
47059	2
47065	2
47089	1
47093	6
47105	1
47119	2
47141	1
47149	3
47155	1
47157	2
47165	1
47179	1
47187	2
47189	1
48027	1
48029	32
48037	1
48041	2
48073	1
48085	9
48095	53
48097	1
48113	36
48121	9
48123	1
48135	1
48139	4
48141	9
48143	1
48157	6
48183	1
48201	36
48209	2
48213	1
48215	4
48231	1
48245	4
48257	2
48303	7
48325	1
48337	1
48339	5
48355	3
48361	1
48367	1
48423	3
48439	20
48441	2
48451	1
48453	43
48455	1
48463	1
48471	1
48473	1
48491	5
49011	2
49035	3
49039	1
49053	1
49057	4
50005	1
50007	2
50017	3
50021	1
50027	1
51005	6
51013	9
51031	2
51041	2
51059	24
51069	1
51085	1
51087	1
51089	1
51107	1
51121	1
51143	1
51149	2
51153	4
51163	28
51165	1
51177	1
51191	1
51199	1
51650	1
51700	3
51710	3
51810	9
53011	4
53033	7
53037	5
53061	4
53065	1
53073	2
53077	1
54011	1
54035	2
54039	10
54061	2
54079	1
54097	10
55009	1
55025	1
55035	1
55073	15
55079	7
55101	4
55105	4
55117	1
55127	1
55133	3
55139	2
55141	1
56001	1
